,time,pos_x,pos_y,yaw,v_x,v_y,w,a_x,a_y
4542,1713795827.091623,1.6896979385258,1.3373444936984458,0.6450669773443685,0.6609734707892126,-0.009353247185938187,-0.00555857530023573,0.19299944741927402,-0.7590323888252886
4543,1713795827.111623,1.672344740383189,1.3403299173658934,0.6452983210177138,0.575659398298674,-0.010081336808637157,-0.0048999607604417045,0.216087271201386,-0.8176778033705775
4544,1713795827.131623,1.6570527581920556,1.3382557944863356,0.6455847536311661,0.5634925635596155,-0.010766733868643758,-0.0031565412064782955,0.23908435889694918,-0.8729130409224416
4545,1713795827.151623,1.6419419865920257,1.3357884598979832,0.6459837002819245,0.6964473686885146,-0.011410543958918985,-0.0005918414328621819,0.2624309115765893,-0.9248483153606413
4546,1713795827.171623,1.6269140312181334,1.3331818427119817,0.6465244170648862,0.7655746980609073,-0.012014522701336804,0.0018176834281305007,0.28484632295465295,-0.973590293272677
4547,1713795827.191623,1.6117958701082296,1.33057012338898,0.6470586601796814,0.7777582652766242,-0.012580127503412211,0.002615195130298055,0.30640200116139926,-1.0192421785776886
4548,1713795827.211623,1.5965926028188702,1.327963835169789,0.6474576191982782,0.7765342477971349,-0.013108677687705041,0.0025030078751377698,0.32738977528965535,-1.0619038336973028
4549,1713795827.231623,1.5813364559306804,1.3253398848775313,0.6477337186542793,0.7501570824069502,-0.013601405146979391,0.0027478551351682243,0.34775632835905573,-1.1016718909679215
4550,1713795827.251623,1.5660165341459542,1.3227041775991557,0.6480824312155831,0.6932522911284218,-0.014059477258013545,0.00506897832970417,0.36748874561444705,-1.138639858673641
4551,1713795827.271623,1.5506573262208232,1.3200692866018267,0.6484338272093276,0.7150207891634632,-0.014484016222674343,0.006700881853799847,0.3872706511779101,-1.1728982229287654
4552,1713795827.2916229,1.535354590166719,1.3173675563794234,0.6485780153948072,0.7997032120187402,-0.014876116537340778,0.007514107764965927,0.4070047316627037,-1.20453454576005
4553,1713795827.3116229,1.519169840206284,1.312859453668319,0.648530836917682,0.8845535398746212,-0.015237028549643466,0.00821714689510689,0.4263112921850822,-1.2336335610023408
4554,1713795827.3316228,1.502582033399332,1.3076442727635509,0.6484307702835173,0.8971024642937595,-0.015567503900239272,0.007436800171869262,0.44476361214614557,-1.2602772538914104
4555,1713795827.3516228,1.4858628431251089,1.3024417843174463,0.648278942575519,0.7862984284434845,-0.01586847147303273,0.0053852106647770456,0.46207865293383166,-1.2845449702740983
4556,1713795827.3716228,1.4690460851137526,1.2973500738658044,0.6481831549736917,0.7751536651254012,-0.016140934795759836,0.003279091813017443,0.4796475040001981,-1.3065134944370316
4557,1713795827.3916228,1.452305459958796,1.292209386355194,0.6482125606301158,0.7468433558122438,-0.01638586619142322,0.0010002625476230433,0.49675231423069677,-1.3262571277467756
4558,1713795827.4116228,1.4355418900653125,1.287088454571949,0.6483647583540125,0.6909043472790957,-0.016604147562737676,-0.0005396582231077874,0.5133442578540911,-1.3438477683173962
