time_sec,time_nanosec,distance_44AE,distance_06A5,distance_CBB0,distance_4F9B
1713795845,621574822,233,122,550,528
1713795845,822363860,228,103,554,515
1713795846,22743842,244,96,561,517
1713795846,215422102,265,82,567,517
1713795846,418658796,264,88,566,519
1713795846,620139174,270,88,569,513
1713795846,812611128,262,84,573,518
1713795847,15835609,259,75,563,521
1713795847,218759306,268,73,582,518
1713795847,412572524,269,73,582,525
1713795847,613841162,268,65,577,520
1713795847,815688381,268,68,580,518
1713795848,10114747,268,73,580,516
1713795848,212773143,269,62,581,518
1713795848,413981684,269,67,577,521
1713795848,606002332,269,71,578,515
1713795848,809500282,273,66,580,518
1713795849,9912107,270,69,577,519
1713795849,202868284,275,75,580,512
1713795849,406571281,281,88,559,497
1713795849,607300126,284,102,544,491
1713795849,809087646,290,111,538,472
1713795850,373132,291,122,519,454
1713795850,204036038,304,133,507,443
1713795850,406066132,308,146,498,431
1713795850,598344521,312,168,484,415
1713795850,804498506,315,177,470,401
1713795850,996462815,322,202,458,385
1713795851,199543562,329,215,442,374
1713795851,401693540,339,233,431,359
1713795851,593851433,345,244,424,345
1713795851,797402636,353,255,407,341
1713795851,999225839,368,273,404,331
1713795852,191068968,381,286,388,312
1713795852,394737387,396,296,387,299
1713795852,595101160,407,314,376,288
1713795852,795953615,414,324,367,276
1713795852,988469749,432,342,354,271
1713795853,190508831,437,355,352,263
1713795853,394271215,451,370,341,251
1713795853,585827302,459,380,335,237
1713795853,789378979,474,394,328,163
1713795853,989576395,488,412,318,167
1713795854,190313088,499,427,314,155
1713795854,383018848,517,444,306,145
1713795854,586324903,528,455,300,124
1713795854,786702724,523,452,300,122
1713795854,987601427,532,444,307,121
1713795855,179685316,540,451,302,116
1713795855,382897728,549,462,304,111
1713795855,583691199,548,460,313,112
1713795855,784716233,552,464,312,114
1713795855,976362491,550,462,312,111
1713795856,186078211,548,462,308,111
1713795856,380001239,556,468,317,113
1713795856,581605096,548,467,314,109
1713795856,774760676,555,466,320,111
1713795856,976845555,544,468,304,108
1713795857,177062472,539,479,295,124
1713795857,370510458,528,483,290,128
1713795857,573163026,523,483,273,135
1713795857,774368305,524,481,265,140
1713795857,975175873,527,488,256,153
1713795858,167005811,523,489,305,159
1713795858,370832381,516,494,201,170
1713795858,571224739,522,495,205,178
1713795858,772155986,510,507,194,196
1713795858,964151479,510,507,197,194
1713795859,166882082,512,507,193,194
1713795859,371022426,514,507,192,195
1713795859,569277109,513,508,195,192
1713795859,761110263,512,508,192,195
1713795859,963820093,512,508,196,189
1713795860,165077880,512,507,194,191
1713795860,359240709,517,509,195,193
1713795860,562640288,509,505,193,191
1713795860,764457256,515,509,197,195
1713795860,955894780,515,507,192,193
1713795861,159391278,512,507,189,191
1713795861,363177801,512,508,190,191
1713795861,555995478,513,510,187,190
1713795861,757137033,513,508,192,196
