time,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1713795750778267110,0.32,0.0,0.0,0.0,0.0,0.0
1713795750786735315,0.32,0.0,0.0,0.0,0.0,0.0
1713795750796833005,0.3,0.0,0.0,0.0,0.0,0.0
1713795750807887949,0.3,0.0,0.0,0.0,0.0,0.0
1713795750815139646,0.3,0.0,0.0,0.0,0.0,0.0
1713795750825701227,0.3,0.0,0.0,0.0,0.0,0.0
1713795750836737942,0.3,0.0,0.0,0.0,0.0,0.0
1713795750846352186,0.3,0.0,0.0,0.0,0.0,0.0
1713795750856463564,0.22,0.0,0.0,0.0,0.0,0.0
1713795750866036251,0.18,0.0,0.0,0.0,0.0,0.0
1713795750876066753,0.18,0.0,0.0,0.0,0.0,0.0
1713795750886622606,0.18,0.0,0.0,0.0,0.0,0.0
1713795750897619372,0.11,0.0,0.0,0.0,0.0,0.0
1713795750906775033,0.11,0.0,0.0,0.0,0.0,0.0
1713795750915856381,0.06,0.0,0.0,0.0,0.0,0.0
1713795750925343163,0.06,0.0,0.0,0.0,0.0,0.0
1713795750938360948,0.06,0.0,0.0,0.0,0.0,0.0
1713795750947169074,0.0,0.0,0.0,0.0,0.0,0.0
1713795750955367619,0.0,0.0,0.0,0.0,0.0,0.0
1713795750968205631,0.0,0.0,0.0,0.0,0.0,0.0
1713795750977217975,0.0,0.0,0.0,0.0,0.0,0.0
1713795750988294501,0.0,0.0,0.0,0.0,0.0,0.0
1713795750996582304,0.0,0.0,0.0,0.0,0.0,0.0
1713795751007553159,0.0,0.0,0.0,0.0,0.0,0.0
1713795751018249813,0.0,0.0,0.0,0.0,0.0,0.0
1713795751029944161,0.0,0.0,0.0,0.0,0.0,0.0
1713795751034838969,0.0,0.0,0.0,0.0,0.0,0.0
1713795751045419895,0.0,0.0,0.0,0.0,0.0,0.0
1713795751055488530,0.0,0.0,0.0,0.0,0.0,0.0
1713795751068528105,0.0,0.0,0.0,0.0,0.0,0.0
1713795751079167209,0.0,0.0,0.0,0.0,0.0,0.0
1713795751086237317,0.0,0.0,0.0,0.0,0.0,0.0
1713795751098617303,0.0,0.0,0.0,0.0,0.0,0.0
1713795751105378220,0.0,0.0,0.0,0.0,0.0,0.0
1713795751117058250,0.0,0.0,0.0,0.0,0.0,0.0
1713795751127286404,0.0,0.0,0.0,0.0,0.0,0.0
1713795751140838689,0.0,0.0,0.0,0.0,0.0,0.0
1713795751144829881,0.0,0.0,0.0,0.0,0.0,0.0
1713795751161813225,0.06,0.0,0.0,0.0,0.0,0.0
1713795751166687988,0.06,0.0,0.0,0.0,0.0,0.0
1713795751182644096,0.08,0.0,0.0,0.0,0.0,0.0
1713795751186535554,0.08,0.0,0.0,0.0,0.0,0.0
1713795751196023941,0.08,0.0,0.0,0.0,0.0,0.0
1713795751206627426,0.12,0.0,0.0,0.0,0.0,0.0
1713795751215498270,0.12,0.0,0.0,0.0,0.0,0.0
1713795751228640094,0.13,0.0,0.0,0.0,0.0,0.0
1713795751236836963,0.13,0.0,0.0,0.0,0.0,0.0
1713795751246400710,0.13,0.0,0.0,0.0,0.0,0.0
1713795751258059787,0.13,0.0,0.0,0.0,0.0,0.0
1713795751269318041,0.18,0.0,0.0,0.0,0.0,0.0
1713795751279876757,0.18,0.0,0.0,0.0,0.0,0.0
1713795751288587244,0.2,0.0,0.0,0.0,0.0,0.0
1713795751296679839,0.2,0.0,0.0,0.0,0.0,0.0
1713795751312610245,0.2,0.0,0.0,0.0,0.0,0.0
1713795751316946037,0.24,0.0,0.0,0.0,0.0,0.0
1713795751327266522,0.24,0.0,0.0,0.0,0.0,0.0
1713795751336962411,0.24,0.0,0.0,0.0,0.0,0.0
1713795751542961025,0.24,0.0,0.0,0.0,0.0,0.0
1713795751543044067,0.24,0.0,0.0,0.0,0.0,0.0
1713795751543085484,0.24,0.0,0.0,0.0,0.0,0.0
1713795751543127109,0.2,0.0,0.0,0.0,0.0,0.0
1713795751543159516,0.2,0.0,0.0,0.0,0.0,0.0
1713795751543209523,0.2,0.0,0.0,0.0,0.0,0.0
1713795751543226285,0.2,0.0,0.0,0.0,0.0,0.0
1713795751543258692,0.19,0.0,0.0,0.0,0.0,0.0
1713795751543273289,0.19,0.0,0.0,0.0,0.0,0.0
1713795751543282368,0.19,0.0,0.0,0.0,0.0,0.0
1713795751543291378,0.19,0.0,0.0,0.0,0.0,0.0
1713795751543299340,0.19,0.0,0.0,0.0,0.0,0.0
1713795751543308768,0.14,0.0,0.0,0.0,0.0,0.0
1713795751543317918,0.11,0.0,0.0,0.0,0.0,0.0
1713795751543340756,0.11,0.0,0.0,0.0,0.0,0.0
1713795751543367925,0.11,0.0,0.0,0.0,0.0,0.0
1713795751543395163,0.11,0.0,0.0,0.0,0.0,0.0
1713795751543421843,0.11,0.0,0.0,0.0,0.0,0.0
1713795751543445799,0.0,0.0,0.0,0.0,0.0,0.0
1713795751543459069,0.0,0.0,0.0,0.0,0.0,0.0
1713795751545793189,0.0,0.0,0.0,0.0,0.0,0.0
1713795751557489492,0.0,0.0,0.0,0.0,0.0,0.0
1713795751566437442,0.0,0.0,0.0,0.0,0.0,0.0
1713795751576740886,0.0,0.0,0.0,0.0,0.0,0.0
1713795751587800369,0.0,0.0,0.0,0.0,0.0,0.0
1713795751595054022,0.0,0.0,0.0,0.0,0.0,0.0
1713795751607721897,0.0,0.0,0.0,0.0,0.0,0.0
1713795751617441531,0.0,0.0,0.0,0.0,0.0,0.0
1713795751627929777,0.0,0.0,0.0,0.0,0.0,0.0
1713795751638196275,0.0,0.0,0.0,0.0,0.0,0.0
1713795751646505240,0.0,0.0,0.0,0.0,0.0,0.0
1713795751657594895,0.0,0.0,0.0,0.0,0.0,0.0
1713795751665904140,0.0,0.0,0.0,0.0,0.0,0.0
1713795751677330224,0.0,0.0,0.0,0.0,0.0,0.0
1713795751686149176,0.0,0.0,0.0,0.0,0.0,0.0
1713795751695296106,0.0,0.0,0.0,0.0,0.0,0.0
1713795751706585090,0.0,0.0,0.0,0.0,0.0,0.0
1713795751717195140,0.0,0.0,0.0,0.0,0.0,0.0
1713795751725256376,0.0,0.0,0.0,0.0,0.0,0.0
1713795751735642443,0.0,0.0,0.0,0.0,0.0,0.0
1713795751747635714,0.0,0.0,0.0,0.0,0.0,0.0
1713795751756962557,0.0,0.0,0.0,0.0,0.0,0.0
1713795751768117585,0.0,0.0,0.0,0.0,0.0,0.0
1713795751777200609,0.0,0.0,0.0,0.0,0.0,0.0
1713795751786716235,0.0,0.0,0.0,0.0,0.0,0.0
