time,x_filter,v_x_filter,y_filter,v_y_filter,yaw_filter,w_filter,x_ref,y_ref,yaw_ref,v_x_ref,v_y_ref,w_ref
1713795736.9729989,-0.5959063237278697,0.0496296287007884,-0.012810663425650501,-0.002653903994916718,0.0016425026733998718,0.012105605818741188,-0.007956588587412324,-0.0032111996391793536,-0.029300519051740005,-0.04563237294809447,0.03461593905049157,0.3322661085263441
1713795736.9929988,-0.5953790237372769,0.037821655391682536,-0.012519966757188961,-0.010895681784097793,0.0009587113873030751,0.005567129098742499,-0.008194699149281896,-0.003052171542662928,-0.027535984692601035,0.007291492484828849,-0.006567499450442358,-0.05029818628005469
1713795737.0129988,-0.5946039494202172,0.037248498220261134,-0.01241094264189615,-0.010979586369094258,-0.0003331076616579537,-0.004630741062336129,-0.0076895187694767265,-0.003439495432400179,-0.03112587944722888,0.03446064941637837,-0.025631852296151166,-0.24805141491328703
1713795737.0329988,-0.5939528615768888,0.04088611338034846,-0.012638876089832744,-0.01635506284784763,-0.0014268258178183398,-0.012078194511657921,-0.007519254502814563,-0.0035658278613166054,-0.03249318992233798,-0.001296768971010661,0.00018721199077501396,-0.0013926198991968232
1713795737.0529988,-0.5928341640252531,0.039839676889661786,-0.01768964198123261,-0.02892117953944513,-0.002835316670045374,-0.019636519062132145,-0.007547584582554682,-0.003591956250345997,-0.032542553319172725,-0.0012718660245310742,-0.001499664411949448,-0.0028792188208077193
1713795737.0729988,-0.5920067990540206,0.03830146329199238,-0.018906278317691972,-0.034387155601672076,-0.0029925023199099824,-0.017574336603187073,-0.007563169155187834,-0.0035933374170984437,-0.032592369186073174,-1.5610554860760414e-05,0.001279376188561072,-0.003629805972287203
1713795737.0929987,-0.5913453420258921,0.03480895527751671,-0.019662699509171277,-0.03926457691497203,-0.003248966911030951,-0.016884686215213864,-0.007535586739317106,-0.0035423097178325187,-0.03275428702194076,0.002320618546931848,0.0029949445612233653,-0.009873016819539431
1713795737.1129987,-0.5906709026467697,0.030100042290387964,-0.025367357557321564,-0.0422828819794294,-0.003591906212579652,-0.016790051883997095,-0.007484689831831733,-0.003523484699976957,-0.032831446198115455,-0.0010055932744730237,0.0006496425464597802,0.028836636257328234
1713795737.1329987,-0.590067581666529,0.025746361821184855,-0.0304175947979806,-0.04295881872224964,-0.0030323032044866013,-0.009905457566443397,-0.007998368853754595,-0.0032054874625068483,-0.029057044221923695,-0.025832026837520526,0.015489624048194442,0.182821646910531
1713795737.1529987,-0.5889417499538044,0.02822684511554434,-0.021980551878421323,-0.03569573781103924,-0.00177166178554363,0.001432552967082384,-0.007775256080124621,-0.003380817159392867,-0.03057574123818244,0.018009276095938262,-0.012166780791728872,-0.12137789885511449
