time,x,y,distance_44AE,distance_06A5,distance_CBB0,distance_4F9B,yaw,v_x,v_y,w,a_x,a_y
1713795788.0316603,5.407445392795716,0.7517886180271489,2.267274370807365,1.293635377515581,5.596364622484419,5.362272562919264,-0.8086959891627873,0.6498237902775325,0.0,-0.0020914819587098997,-1.0449750429285416,-2.5847781402731584
1713795788.0516603,5.410207410664943,0.7691601167898269,2.2872291736048336,1.2816624958370997,5.6083375041629004,5.3602770826395165,-0.808780044604363,0.6316881509367991,0.0,-0.003670271550781699,-1.0392289627646676,-2.5781222676000084
1713795788.0716603,5.395027345502743,0.8085331801233302,2.3297020663742956,1.2574420077418775,5.606390721238701,5.353683762167726,-0.8096915009201541,0.5491046897457087,0.0,-0.007343615851483158,-1.0334828826007936,-2.5714663949268584
1713795788.0916603,5.37695421321313,0.8514538807685113,2.375805883477125,1.23124665711527,5.602199465138444,5.3463490639922755,-0.8106029572359451,0.5644276556927387,0.0,0.0004600964340532431,-1.0277368024369196,-2.5648105222537083
1713795788.1116602,5.358881080923518,0.8943745814136922,2.421909700579954,1.2050513064886625,5.598008209038186,5.339014365816825,-0.8110668869326525,0.7297065047129185,0.0,0.0005530418098410603,-1.0219907222730455,-2.5581546495805583
1713795788.1316602,5.3408079486339055,0.9372952820588732,2.468013517682783,1.1788559558620553,5.593816952937929,5.331679667641375,-0.8110921256278385,0.7298028423647425,0.0,-0.006130272358531969,-1.0162446421091715,-2.5514987769074082
1713795788.1516602,5.322734816344293,0.9802159827040543,2.514117334785612,1.1526606052354478,5.589625696837672,5.324344969465925,-0.8109648196884285,0.6986704526870899,0.0,0.01100438670756401,-1.0104985619452975,-2.544842904234258
1713795788.1716602,5.304661684054681,1.0231366833492352,2.560221151888441,1.1264652546088403,5.585434440737415,5.317010271290475,-0.8110129690057298,0.644009105057822,0.0,0.008927663615668078,-1.0047524817814235,-2.538187031561108
1713795788.1916602,5.286588551765068,1.0660573839944163,2.60632496899127,1.100269903982233,5.581243184637158,5.309675573115025,-0.8110117451746933,0.6449365253390534,0.0,-0.0023201340372576273,-0.9990064016175495,-2.531531158887958
1713795788.2116601,5.268515419475456,1.1089780846395974,2.652428786094099,1.0740745533556255,5.577051928536901,5.302340874939575,-0.810683987804262,0.6732441760489607,0.0,-0.003166105235109035,-0.9932603214536755,-2.524875286214808
