,time,pos_x,pos_y,yaw,v_x,v_y,w,a_x,a_y,alpha
6018,1713795797.914,1.1380959155142314,1.400205535684067,0.7645068589547716,-0.4039818763640092,-0.011091267041526128,0.5085495927719426,-0.016891014470854154,-0.006571966553412721,0.4416658042388109
6019,1713795797.9255235,1.128783119896494,1.3999490430383417,0.7795255688754797,-0.4043711524589728,-0.011242730673862993,0.7098414599495575,-0.016891011977485514,-0.006571966486216308,0.6212688305168333
6020,1713795797.937,1.1194993535613498,1.399690118499859,0.8043422900807146,-0.4047588463621044,-0.011393585731903487,0.7243497736886606,-0.01689100738911007,-0.0065719729158661725,0.6214833830046878
6021,1713795797.9454918,1.1126239158491917,1.3994961416923948,0.819824489230024,-0.40504570430601544,-0.011505200595664416,0.9429105908918316,-0.01689100489658185,-0.006571972846053524,0.8159317931556003
6022,1713795797.9654872,1.0964190255063382,1.3990334109239801,0.8630389814064672,-0.40572118012267094,-0.011768019408669953,1.166814822921867,-0.01689100238308457,-0.0065719727735695345,1.0305278094498262
6023,1713795797.971,1.091945265921243,1.3989034614276992,0.876218262792867,-0.4059074034285621,-0.011840482746401142,1.178183435172282,-0.016890997005428076,-0.006571976131943491,1.0305333599354605
6024,1713795797.9854636,1.0801999228915133,1.3985595732645018,0.9143561484018351,-0.40639600371320983,-0.012030592122808655,1.4073546224704807,-0.01689099440555039,-0.0065719760567385195,1.2379236830498008
6025,1713795797.993,1.0740734324383392,1.398377862535045,0.9268565679260503,-0.4066505914993572,-0.012129655066212695,1.42579202954682,-0.01689098913708592,-0.00657197951812743,1.237726248004671
6026,1713795798.005497,1.0639070184374881,1.3980736690178526,0.9660575227802177,-0.40707275172515633,-0.012293914108444989,1.6498160889579716,-0.016890986469680323,-0.006571979440140651,1.4295981982937191
6027,1713795798.012292,1.1087324054232592,1.3949893772479798,0.9885442968937416,-0.36853742631636927,-0.014628616449238421,1.6692441269120022,-0.008686954128399366,-0.00704718423247118,1.4295981982937191
6028,1713795798.016,1.105999122383801,1.3948807904561207,0.9800671205408987,-0.3686018473496608,-0.014680881181593245,1.6793669860186413,-0.008686951224565222,-0.00704718509664909,1.4291640839854087
6029,1713795798.0254688,1.0990179178984627,1.39460213830585,1.0132066682968264,-0.36876634829211,-0.014814337521443916,1.792408044472615,-0.008686949106537601,-0.0070471850147930774,1.5000739409190538
6030,1713795798.039,1.0890366205122062,1.394199934275291,1.0348802490505153,-0.3690014346411929,-0.015005055975774475,1.8321931496803485,-0.008686946318172968,-0.007047188699399789,1.4993977351253465
6031,1713795798.0454626,1.0842668639326716,1.3940056975540234,1.0595857678261238,-0.36911370559636303,-0.015096141573579459,1.9238764499737928,-0.00868694416800084,-0.007047188614638638,1.5616671879571082
6032,1713795798.0654492,1.0695087206494642,1.39339944065401,1.1375779011432277,-0.36946094182021266,-0.01537784029818784,2.004219203707705,-0.008686941981535504,-0.007047188526917959,1.5807026162985416
6033,1713795798.0854373,1.0547356398650678,1.3927818789503752,1.2161094203145195,-0.3698082027046675,-0.015659559169497808,2.003055903909796,-0.008686939765597907,-0.007047188436183924,1.5017346124785695
6034,1713795798.1054616,1.039921861185476,1.392151910019867,1.3020064833832585,-0.3701560928912921,-0.015941788799876663,2.1896583144091806,-0.00868693749038126,-0.007047188342377139,1.6721175780831343
6035,1713795798.113,1.0343406610518115,1.3919111581770847,1.2175412129383383,-0.3702870571087113,-0.0160480426118533,2.2123166217469192,-0.008686933219759694,-0.00704719285868923,1.670134113693528
6036,1713795798.1254692,1.0251048810137209,1.3915098472290623,1.2726480840926142,-0.3705036871399791,-0.016223789209336478,2.2362841722750426,-0.00868693090358196,-0.007047192761756119,1.6497036512777086
